kem,signature,kem_category,signature_category,loss_profile,iterations,outliers_removed,mean_ms,std_ms,ci95_low_ms,ci95_high_ms,quic_mode
MLKEM512,MLDSA44,pqc,pqc,0.5,19,1,2.323158,0.321819,2.178451,2.467865,0 - default
MLKEM512,falcon512,pqc,pqc,0.5,19,1,2.594211,0.180841,2.512894,2.675527,0 - default
MLKEM512,falconpadded512,pqc,pqc,0.5,19,1,2.602632,0.176567,2.523237,2.682026,0 - default
MLKEM512,sphincssha2128fsimple,pqc,pqc,0.5,17,3,10.290588,0.088915,10.248321,10.332856,0 - default
MLKEM512,sphincssha2128ssimple,pqc,pqc,0.5,19,1,149.913158,0.092018,149.871782,149.954534,0 - default
MLKEM512,sphincsshake128fsimple,pqc,pqc,0.5,18,2,18.952778,0.111081,18.901461,19.004094,0 - default
MLKEM512,sphincsshake128ssimple,pqc,pqc,0.5,19,1,317.993684,0.213807,317.897545,318.089824,0 - default
MLKEM768,MLDSA65,pqc,pqc,0.5,19,1,2.815263,0.520484,2.581225,3.049302,0 - default
MLKEM768,sphincssha2192fsimple,pqc,pqc,0.5,18,2,15.710000,0.129206,15.650310,15.769690,0 - default
MLKEM768,sphincssha2192ssimple,pqc,pqc,0.5,19,1,267.350000,0.126447,267.293142,267.406858,0 - default
MLKEM768,sphincsshake192fsimple,pqc,pqc,0.5,19,1,29.186316,0.102210,29.140357,29.232275,0 - default
MLKEM768,sphincsshake192ssimple,pqc,pqc,0.5,19,1,569.312105,0.309724,569.172837,569.451374,0 - default
MLKEM1024,MLDSA87,pqc,pqc,0.5,19,1,3.332632,0.567361,3.077515,3.587748,0 - default
MLKEM1024,falcon1024,pqc,pqc,0.5,16,4,3.019375,0.057093,2.991400,3.047350,0 - default
MLKEM1024,falconpadded1024,pqc,pqc,0.5,17,3,2.985882,0.073829,2.950786,3.020978,0 - default
MLKEM1024,sphincssha2256fsimple,pqc,pqc,0.5,19,1,28.553158,0.138887,28.490707,28.615609,0 - default
MLKEM1024,sphincssha2256ssimple,pqc,pqc,0.5,18,2,243.092778,0.188143,243.005860,243.179695,0 - default
MLKEM1024,sphincsshake256fsimple,pqc,pqc,0.5,19,1,56.750526,0.122723,56.695344,56.805709,0 - default
