kem,signature,kem_category,signature_category,loss_profile,iterations,outliers_removed,mean_ms,std_ms,ci95_low_ms,ci95_high_ms,quic_mode
MLKEM512,MLDSA44,pqc,pqc,15,18,2,394.352778,606.722992,114.061056,674.644500,0 - default
MLKEM512,falcon512,pqc,pqc,15,19,1,476.523684,696.901714,163.158457,789.888912,0 - default
MLKEM512,falconpadded512,pqc,pqc,15,16,4,3.286875,1.713448,2.447286,4.126464,0 - default
MLKEM512,sphincssha2128fsimple,pqc,pqc,15,20,0,366.879000,490.034135,152.112071,581.645929,0 - default
MLKEM512,sphincssha2128ssimple,pqc,pqc,15,15,5,151.371333,1.927085,150.396094,152.346573,0 - default
MLKEM512,sphincsshake128fsimple,pqc,pqc,15,16,3,29.910000,20.183193,20.020236,39.799764,0 - default
MLKEM512,sphincsshake128ssimple,pqc,pqc,15,17,3,319.452941,1.960761,318.520854,320.385028,0 - default
MLKEM768,MLDSA65,pqc,pqc,15,16,4,6.122500,5.351927,3.500056,8.744944,0 - default
MLKEM768,sphincssha2192fsimple,pqc,pqc,15,17,3,22.761765,8.502103,18.720122,26.803408,0 - default
MLKEM768,sphincssha2192ssimple,pqc,pqc,15,18,1,577.206111,497.518278,347.364393,807.047829,0 - default
MLKEM1024,MLDSA87,pqc,pqc,15,18,2,8.904444,7.570177,5.407201,12.401688,0 - default
MLKEM1024,falcon1024,pqc,pqc,15,16,4,4.449375,1.166456,3.877812,5.020938,0 - default
MLKEM1024,falconpadded1024,pqc,pqc,15,15,4,4.468667,1.563686,3.677333,5.260001,0 - default
MLKEM1024,sphincssha2256fsimple,pqc,pqc,15,16,3,37.399375,8.759041,33.107445,41.691305,0 - default
MLKEM1024,sphincsshake256fsimple,pqc,pqc,15,17,3,67.654706,8.191233,63.760841,71.548571,0 - default
frodo640aes,falconpadded512,pqc,pqc,15,15,4,8.913333,7.526442,5.104428,12.722238,0 - default
frodo640shake,falconpadded512,pqc,pqc,15,16,3,7.565625,1.863137,6.652688,8.478562,0 - default
bikel1,MLDSA44,pqc,pqc,15,18,2,6.626111,3.205998,5.145015,8.107207,0 - default
bikel1,falcon512,pqc,pqc,15,16,4,7.233125,3.960244,5.292606,9.173644,0 - default
bikel1,falconpadded512,pqc,pqc,15,18,2,5.530000,2.296406,4.469114,6.590886,0 - default
bikel1,sphincsshake128fsimple,pqc,pqc,15,15,4,46.870000,41.848453,25.691761,68.048239,0 - default
bikel1,sphincsshake128ssimple,pqc,pqc,15,17,2,500.303529,384.183459,317.674306,682.932753,0 - default
bikel3,sphincssha2192fsimple,pqc,pqc,15,18,2,33.823889,16.091848,26.389834,41.257943,0 - default
bikel3,sphincsshake192fsimple,pqc,pqc,15,16,3,49.428750,26.425669,36.480172,62.377328,0 - default
bikel5,MLDSA87,pqc,pqc,15,16,4,16.245625,9.691354,11.496861,20.994389,0 - default
bikel5,falcon1024,pqc,pqc,15,18,2,18.306667,11.523265,12.983190,23.630144,0 - default
hqc128,MLDSA44,pqc,pqc,15,15,4,59.573333,45.934012,36.327516,82.819151,0 - default
hqc128,falcon512,pqc,pqc,15,15,4,52.588000,37.765163,33.476191,71.699809,0 - default
hqc128,falconpadded512,pqc,pqc,15,16,4,40.985000,14.341575,33.957628,48.012372,0 - default
