kem,signature,kem_category,signature_category,loss_profile,handshake_time_ms,quic_mode,client_keyshare_bytes,server_keyshare_bytes,signature_bytes,server_credit_send,server_credit_received,server_amplification_realized,client_hello_size,server_hello_size,client_handshake_size,server_handshake_size,server_certificate_size,client_packets_send,server_packets_send,client_total_bytes_send,server_total_bytes_send,client_CRYPTO_bytes_send,server_CRYPTO_bytes_send,client_PADDING_bytes_send,server_PADDING_bytes_send,total_bytes_changed,num_packets_initial_client,num_packets_initial_server,num_packets_handshake_server,num_packets_handshake_client,clientKeyshareGeneration,clientHelloBuild,clientHelloRoundTrip,clientKeyExchangeLatency,clientCertificateProcess,clientCertVerifyCheck,serverKeyExchangeLatency,serverHelloPreparation,serverCertificateBuild,serverCertVerifySign,serverHandshakePreparation,clientValidationDelay
MLKEM512,MLDSA44,pqc,pqc,off,2.710000,0 - default,800,768,2420,3451.000000,2400.000000,1.437917,1096,830,222,6809,3931,6,10,2581,7728,1151,7380,1182,0,10263,2,1,7,4,0.049000,0.073000,1.390000,0.130000,0.051000,0.201000,0.118000,0.235000,0.012000,0.262000,0.313000,1.003000
MLKEM512,MLDSA65,pqc,pqc,off,4.290000,0 - default,800,768,3309,3451.000000,2400.000000,1.437917,1096,830,222,9311,5460,6,12,2581,10230,1151,9808,1182,0,12765,2,1,9,4,0.048000,0.068000,2.717000,0.159000,0.046000,0.278000,0.120000,0.236000,0.012000,1.532000,1.590000,2.347000
MLKEM512,MLDSA87,pqc,pqc,off,4.310000,0 - default,800,768,4627,3451.000000,2400.000000,1.437917,1096,830,222,12713,7418,6,15,2581,13632,1151,13099,1182,0,16167,2,1,12,4,0.046000,0.066000,2.580000,0.159000,0.047000,0.388000,0.120000,0.237000,0.012000,1.394000,1.460000,2.204000
MLKEM512,p256_mldsa44,pqc,pqc-hybrid,off,4.350000,0 - default,800,768,2494,3451.000000,2400.000000,1.437917,1096,830,180,7054,4064,5,11,2539,7973,1151,7587,1182,0,10466,2,1,8,3,0.049000,0.069000,1.954000,0.159000,0.050000,1.130000,0.112000,0.422000,0.012000,0.403000,0.660000,1.603000
MLKEM512,rsa3072_mldsa44,pqc,pqc-hybrid,off,6.900000,0 - default,800,768,2808,3451.000000,2400.000000,1.437917,1096,830,222,8055,4709,6,12,2581,8974,1151,8551,1182,0,11509,2,1,9,4,0.045000,0.065000,4.522000,0.162000,0.049000,1.093000,0.142000,0.482000,0.014000,2.674000,2.973000,3.998000
MLKEM512,p384_mldsa65,pqc,pqc-hybrid,off,5.950000,0 - default,800,768,3415,3451.000000,2400.000000,1.437917,1096,830,222,9651,5656,6,13,2581,10570,1151,10110,1182,0,13105,2,1,10,4,0.052000,0.075000,2.796000,0.157000,0.056000,1.762000,0.113000,0.391000,0.012000,1.268000,1.550000,2.452000
MLKEM512,p521_mldsa87,pqc,pqc-hybrid,off,7.990000,0 - default,800,768,4770,3451.000000,2400.000000,1.437917,1096,830,222,13160,7684,6,16,2581,14079,1151,13508,1182,0,16614,2,1,13,4,0.049000,0.068000,3.897000,0.169000,0.056000,2.599000,0.112000,0.449000,0.012000,2.300000,2.570000,3.559000
MLKEM512,falcon512,pqc,pqc,off,3.340000,0 - default,800,768,652,3407.000000,2400.000000,1.419583,1096,830,138,2683,1741,4,6,2441,3602,1151,3402,1126,0,5997,2,1,3,2,0.045000,0.065000,1.976000,0.135000,0.052000,0.321000,0.138000,0.475000,0.013000,0.305000,0.555000,2.985000
MLKEM512,falcon1024,pqc,pqc,off,3.600000,0 - default,800,768,1274,3451.000000,2400.000000,1.437917,1096,830,180,4901,3253,5,8,2539,5820,1151,5546,1182,0,8313,2,1,5,3,0.046000,0.066000,2.121000,0.162000,0.047000,0.343000,0.114000,0.423000,0.011000,0.522000,0.776000,1.716000
MLKEM512,p256_falcon512,pqc,pqc-hybrid,off,4.380000,0 - default,800,768,727,3451.000000,2400.000000,1.437917,1096,830,180,2944,1885,5,7,2539,3863,1151,3626,1182,0,6356,2,1,4,3,0.044000,0.064000,2.147000,0.163000,0.045000,1.124000,0.120000,0.407000,0.011000,0.533000,0.779000,2.717000
